Category,Language,Business Name,Phone #,Phone # 2,Website,Site Rating,Reviews,Rating,Owner First Name,Owner Last Name,Owners Cel #,Owners Phone #,Personal Email,Business Email,Owner Social Media,Owner Social Media 2,Instagram,Facebook,Linkedin,Business Address,City,County,State,Google Link,Plus Code,Source,Email
Marble & Granite,Portuguese,Onyx Marble and Granite,,,,,,,Poliana,Moraes,,,,poliana@onyxgranite.com,,,https://www.thumbtack.com/websites/services/467222827721031688/instagram/redirect,https://www.thumbtack.com/websites/services/467222827721031688/facebook/redirect,,02668,West Barnstable,BARNSTABLE,MA,,,Thumbtack
Marble & Granite,Portuguese,Atlantis Stone Inc,,,,,,,Rosana,Oliveira,,,,Atlantismarbleandgranite@yahoo.com,,,https://www.thumbtack.com/websites/services/458678957800169491/instagram/redirect,https://www.thumbtack.com/websites/services/458678957800169491/facebook/redirect,,01072,Shutesbury,FRANKLIN,MA,,,Thumbtack
Marble & Granite,Portuguese,FRAUCHES Marble and Granite,,,,,,,Washington,Da Silva,,,,,,,,https://m.facebook.com/people/Frauches-Granite/100000548962574/,,01036,Hampden,HAMPDEN,MA,,,Thumbtack
Marble & Granite,Portuguese,5 Star Granite Inc,,,,,,,Lucas,Lopes,,,,info@5stargranite.com,,,https://www.thumbtack.com/websites/services/379528729807216648/instagram/redirect,https://www.thumbtack.com/websites/services/379528729807216648/facebook/redirect,,02720,Fall River,BRISTOL,MA,,,Thumbtack
Marble & Granite,Portuguese,5 Star Granite Inc,,,,,,,Lucas,Lopes,,,,,,,https://www.thumbtack.com/websites/services/379528729807216648/instagram/redirect,https://www.thumbtack.com/websites/services/379528729807216648/facebook/redirect,,01036,Hampden,HAMPDEN,MA,,,Thumbtack
Granite supplier,,TM Natural Stone & Quartz,(508) 266-7400,,qscountertops.com,,3,5.0,,,,,,info@tmnaturalstone.com,,,,https://www.facebook.com/TMNaturalStoneAndQuartz/,,"91 Court St, Whitinsville, MA 01588",Whitinsville,WORCESTER,MA,,"39X3+QV Whitinsville, Northbridge, MA",Google Maps
Marble & Granite,Spanish,Fresh Countertop,,,,,,,Virgilio,Candelario,,,,Info@FreshCountertop.com,,,https://www.thumbtack.com/websites/services/476752649402204173/instagram/redirect,https://www.thumbtack.com/websites/services/476752649402204173/facebook/redirect,,02769,Rehoboth,BRISTOL,MA,,,Thumbtack
Marble & Granite,Portuguese,American Dreams Marble & Granite,,,,,,,Thalisson,Magalhaes,,,,,,,https://www.thumbtack.com/websites/services/428972402231271428/instagram/redirect,https://www.thumbtack.com/websites/services/428972402231271428/facebook/redirect,,01899,Andover,ESSEX,MA,,,Thumbtack
Marble & Granite,Portuguese,American Dreams Marble & Granite,,,,,,,Thalisson,Magalhaes,,,,,,,https://www.thumbtack.com/websites/services/428972402231271428/instagram/redirect,https://www.thumbtack.com/websites/services/428972402231271428/facebook/redirect,,01899,Andover,ESSEX,MA,,,Thumbtack
Marble & Granite,Portuguese,Granite and Tile MA,,,,,,,Nichollas,Souza,,,,sales@latilesandgranite.com,,,https://www.instagram.com/latilesstonedesign/,https://www.facebook.com/latilesstonedesign/,,01985,West Newbury,ESSEX,MA,,,Thumbtack
Countertop store,,Gemini Stone Llc,(781) 603-9235,,geministone.net,,8,5.0,,,,,,pucciodanny@yahoo.com,,,,,,"100 Ashland St, Everett, MA 02149",Everett,MIDDLESEX,MA,,"9QC3+CW Waltham, Massachusetts",Google Maps
Marble & Granite,Portuguese,Granite and Tile MA,,,,,,,Nichollas,Souza,,,,,,,,https://www.facebook.com/Napolitanogranite/,https://www.linkedin.com/in/tom-kew-tom-94a23643,01843,Lawrence,ESSEX,MA,,,Thumbtack
Marble & Granite,American,B&B Custom Cabinets and Countertops,,,,,,,Barry,Snyder,,,,,,,,https://www.facebook.com/photo.php?fbid=800015312168159&set=a.472250368277990&type=3&eid=ARB_HcJO_JHh_dKEVZGkkC9fN2oC-oz7ph1XJWz3WFnYE8pX3jYwYk3QvlfyNtyJ_cCaxSEJcVnBCIrq,,02720,Fall River,BRISTOL,MA,,,Thumbtack
Marble & Granite,Italian,RDS Marble and Granite,,,,,,,RDS,Co,,,,,,,https://www.thumbtack.com/websites/services/473614930903187481/instagram/redirect,https://www.thumbtack.com/websites/services/473614930903187481/facebook/redirect,,01841,Lawrence,ESSEX,MA,,,Thumbtack
Tile store,Italian,Tile International,(781) 899-8286,,tiboston.com,,11,4.9,ANTHONY,ARPINO,,,,,,,,https://www.facebook.com/bostontile/,,"319 Waverley Oaks Rd, Waltham, MA 02452",Waltham,MIDDLESEX,MA,,"9QPV+7J Waltham, Massachusetts",Google Maps
Natural stone supplier,,Natural Marble & Granite,(508) 620-0775,,onyxgranite.com,,6,4.7,,,,,,poliana@onyxgranite.com,,,https://www.instagram.com/onyxmarblegranite/,https://www.facebook.com/Onyxgranite/,,"600 Pleasant St, Watertown, MA 02472",Watertown,MIDDLESEX,MA,,"9Q8Q+M8 Watertown, Massachusetts",Google Maps
Marble & Granite,Portuguese,Leo's Marble & Granite,,,,,,,Richaell,Ribeiro,,,,office@leosgranite.com,,,,https://www.facebook.com/leosmarblegranite/,,01841,Lawrence,ESSEX,MA,,,Thumbtack
Marble & Granite,Portuguese,Leo's Marble & Granite,,,,,,,Richaell,Ribeiro,,,,,,,,https://www.facebook.com/leosmarblegranite/,,01841,Lawrence,ESSEX,MA,,,Thumbtack
Marble & Granite,Portuguese,level up stoneworks Inc.,,,,,,,Oscar,Chave,,,,LEVELUPSTONEWORKS@GMAIL.COM,,,,https://www.facebook.com/levelupstoneworks/,,01938,Ipswich,ESSEX,MA,,,Thumbtack
Marble & Granite,Portuguese,level up stoneworks Inc.,,,,,,,Oscar,Chave,,,,,,,,https://www.facebook.com/levelupstoneworks/,,01944,Manchester,ESSEX,MA,,,Thumbtack
Marble & Granite,Italian,RDS Marble and Granite,,,,,,,RDS,Co,,,,,,,https://www.thumbtack.com/websites/services/473614930903187481/instagram/redirect,https://www.thumbtack.com/websites/services/473614930903187481/facebook/redirect,,01841,Lawrence,ESSEX,MA,,,Thumbtack
